Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1
16:14:52,1.94,2.06,22.00
16:14:53,0.97,1.02,22.25
16:14:54,1.31,1.38,22.50
16:14:55,1.31,1.38,22.25
16:14:56,1.65,1.75,22.00
16:14:57,1.65,1.72,22.75
16:14:58,1.65,1.77,21.50
16:14:59,0.97,1.03,22.00
16:15:00,1.65,1.75,22.00
16:15:01,1.31,1.41,21.25
16:15:02,1.31,1.40,21.75
16:15:03,1.31,1.39,22.00
16:15:04,1.65,1.75,22.00
16:15:05,1.65,1.77,21.50
16:15:06,1.94,2.06,22.00
16:15:07,1.31,1.40,21.50
16:15:08,1.31,1.40,21.50
16:15:09,1.31,1.39,22.00
16:15:10,1.65,1.76,21.75
16:15:10,1.64,1.76,21.50
16:15:11,1.31,1.41,21.25
16:15:12,1.94,2.06,22.00
16:15:13,1.65,1.77,21.50
16:15:14,1.31,1.42,21.00
16:15:15,1.65,1.77,21.50
16:15:17,1.94,2.08,21.50
16:15:17,1.94,2.08,21.50
16:15:18,1.94,2.08,21.50
16:15:19,1.94,2.08,21.50
16:15:20,1.64,1.77,21.25
16:15:21,1.31,1.40,21.50
16:15:22,1.65,1.77,21.50
16:15:23,1.64,1.75,21.75
16:15:24,1.65,1.78,21.25
16:15:25,1.64,1.76,21.50
16:15:26,1.94,2.08,21.50
16:15:27,1.65,1.75,22.00
16:15:28,1.94,2.07,21.75
16:15:29,1.31,1.40,21.50
16:15:30,1.94,2.08,21.50
16:15:31,1.65,1.76,21.75
16:15:32,1.94,2.07,21.75
16:15:33,2.28,2.45,21.25
16:15:34,1.94,2.10,21.00
16:15:35,1.64,1.75,21.75
16:15:36,1.94,2.07,21.75
16:15:37,1.94,2.08,21.50
16:15:38,1.94,2.07,21.75
16:15:39,2.27,2.44,21.25
16:15:40,1.64,1.75,21.75
16:15:41,2.28,2.47,21.00
16:15:42,1.94,2.08,21.50
16:15:43,1.64,1.75,21.75
16:15:44,1.94,2.07,21.75
16:15:45,1.64,1.78,20.75
16:15:46,1.64,1.74,22.00
16:15:47,1.64,1.75,21.75
16:15:48,2.61,2.81,21.25
16:15:49,1.94,2.09,21.25
16:15:50,2.27,2.44,21.25
16:15:51,2.61,2.81,21.25
16:15:52,2.61,2.80,21.50
16:15:52,1.93,2.06,21.75
16:15:53,2.61,2.78,21.75
16:15:54,2.27,2.43,21.50
16:15:55,2.61,2.78,21.75
16:15:56,2.28,2.44,21.50
16:15:57,2.61,2.78,21.75
16:15:58,2.61,2.78,21.75
16:15:59,2.61,2.77,22.00
16:16:01,13.49,14.31,22.00
16:16:01,65.96,70.30,21.75
16:16:02,91.45,97.96,21.50
16:16:03,98.94,104.92,22.00
16:16:04,102.00,108.17,22.00
16:16:05,105.00,112.48,21.50
16:16:06,108.40,116.72,21.25
16:16:07,108.90,115.48,22.00
16:16:08,113.00,121.67,21.25
16:16:09,113.30,121.99,21.25
16:16:10,115.70,123.31,21.75
16:16:11,50.36,53.14,22.25
16:16:12,140.30,150.29,21.50
16:16:13,140.90,150.17,21.75
16:16:14,144.90,154.44,21.75
16:16:15,149.50,157.74,22.25
16:16:16,154.30,163.63,22.00
16:16:17,160.60,172.92,21.25
16:16:18,164.60,175.43,21.75
16:16:19,172.30,180.89,22.50
16:16:20,177.70,190.36,21.50
16:16:21,181.20,193.13,21.75
16:16:22,186.80,197.10,22.25
16:16:23,192.10,200.68,22.75
16:16:24,197.20,210.18,21.75
16:16:25,204.30,217.75,21.75
16:16:26,208.30,219.78,22.25
16:16:27,213.60,225.38,22.25
16:16:28,218.30,233.85,21.50
16:16:29,224.50,242.97,21.00
16:16:30,228.90,242.74,22.00
16:16:31,233.80,246.69,22.25
16:16:32,238.40,256.69,21.25
16:16:33,243.60,260.95,21.50
16:16:34,248.50,260.89,22.50
16:16:34,252.90,266.84,22.25
16:16:35,257.80,274.77,21.75
16:16:36,262.40,279.67,21.75
16:16:37,266.60,284.15,21.75
16:16:38,271.00,285.94,22.25
16:16:39,275.50,292.15,22.00
16:16:40,280.40,298.85,21.75
16:16:41,284.10,299.76,22.25
16:16:42,288.60,302.99,22.50
16:16:43,293.20,309.36,22.25
16:16:44,296.10,314.00,22.00
16:16:45,300.80,317.38,22.25
16:16:46,305.00,321.81,22.25
16:16:47,308.60,323.99,22.50
16:16:48,313.10,333.71,21.75
16:16:49,317.10,336.27,22.00
16:16:50,321.30,339.01,22.25
16:16:51,324.80,341.00,22.50
16:16:52,328.70,348.57,22.00
16:16:53,333.50,353.66,22.00
16:16:54,337.60,356.21,22.25
16:16:55,341.70,360.54,22.25
16:16:56,346.50,365.60,22.25
16:16:57,349.70,374.61,21.50
16:16:58,353.50,376.77,21.75
16:16:59,356.20,373.96,22.50
16:17:00,360.80,382.61,22.00
16:17:01,364.90,385.02,22.25
16:17:02,368.50,388.82,22.25
16:17:03,372.30,392.83,22.25
16:17:04,375.70,394.44,22.50
16:17:05,378.70,399.58,22.25
16:17:06,383.00,410.28,21.50
16:17:07,386.70,408.02,22.25
16:17:08,389.50,410.97,22.25
16:17:09,392.80,412.39,22.50
16:17:10,396.70,420.68,22.00
16:17:11,400.60,424.81,22.00
16:17:12,403.40,425.64,22.25
16:17:13,407.10,427.40,22.50
16:17:14,410.20,437.20,21.75
16:17:15,414.00,441.25,21.75
16:17:16,417.60,445.08,21.75
16:17:17,420.90,441.89,22.50
16:17:17,423.90,442.83,22.75
16:17:18,426.90,450.44,22.25
16:17:19,430.50,454.23,22.25
16:17:20,433.30,461.82,21.75
16:17:21,437.00,458.79,22.50
16:17:22,440.20,462.15,22.50
16:17:23,442.70,469.46,22.00
16:17:24,446.50,471.12,22.25
16:17:25,449.00,473.75,22.25
16:17:26,452.10,472.29,22.75
16:17:27,455.20,480.30,22.25
